KODE;NAMA PRODUK;TANGGAL;NO.TRANSAKSI;QTY.MSK;NILAI MSK;QTY.KLR;NILAI KLR;NAMA PRODUK STOK;LOKASI;QTY.STOK;UNIT
A00001;ACTIVED HIJAU;2021-01-15;2.11-210115.1218-122;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-01-23;2.11-210123.1734-100;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-01-25;1.13-210125.0536-006;2.0;51985.1;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-01-25;2.11-210125.0608-120;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-02-02;2.11-210202.1622-071;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-02-03;1.11-210203.1313-008;2.0;51986.17;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-03-20;2.11-210320.1753-085;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-03-20;2.11-210320.1042-019;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-04-09;1.12-210409.2007-001;2.0;51994.17;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-04-12;2.11-210412.1400-048;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-04-29;2.6-210429.1320-025;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-05-03;1.12-210503.1654-002;2.0;54009.1;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-05-26;1.13-210526.1426-001;3.0;49666.67;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-06-01;2.11-210601.1217-009;0.0;0.0;1.0;59500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-06-05;2.11-210605.0831-002;0.0;0.0;1.0;59500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-06-17;2.13-210617.1714-007;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-06-19;2.11-210619.1028-022;0.0;0.0;1.0;59500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-06-20;2.11-210620.1939-105;0.0;0.0;1.0;59500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-06-22;1.11-210622.1629-002;2.0;58550.17;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-07-09;2.11-210709.1615-088;0.0;0.0;1.0;64500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-07-09;2.11-210709.1845-156;0.0;0.0;1.0;64500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-11-18;1.11-211118.1524-008;2.0;53495.16;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-12-07;2.11-211207.1412-057;0.0;0.0;1.0;60000.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-12-09;2.11-211209.1352-075;0.0;0.0;1.0;60000.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-12-14;1.11-211214.1510-001;2.0;50200.0;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-12-15;2.12-211215.1629-006;0.0;0.0;1.0;61000.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-12-27;1.13-211227.1634-004;1.0;53486.71;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A000011;ALLERIN EXP;2021-07-06;1.13-210706.0908-003;3.0;11983.46;0.0;0.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A000011;ALLERIN EXP;2021-07-07;2.11-210707.1730-133;0.0;0.0;1.0;13500.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A000011;ALLERIN EXP;2021-07-08;2.9-210708.1947-119;0.0;0.0;1.0;13500.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A000011;ALLERIN EXP;2021-07-09;2.11-210709.2017-213;0.0;0.0;1.0;13500.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A000012;APIALYS SYR 100 ML;2021-01-19;1.13-210119.0333-002;1.0;35398.69;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-01-19;2.11-210119.0423-021;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-02-02;1.13-210202.1133-003;1.0;35524.63;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-02-15;2.11-210215.1701-052;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-02-23;1.11-210223.1150-001;1.0;35394.44;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-03-07;2.6-210307.1606-020;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-03-10;1.11-210310.1212-002;1.0;36301.78;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-05-22;2.11-210522.1212-042;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-05-29;1.11-210529.1726-003;1.0;35394.92;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-07-05;2.11-210705.1137-056;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-07-07;1.13-210707.1257-001;1.0;42903.58;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-07-17;1.13-210717.1459-001;1.0;35397.59;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-07-17;2.13-210717.1724-038;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-07-21;1.13-210721.1541-001;1.0;35393.91;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-07-23;2.11-210723.1337-075;0.0;0.0;1.0;49000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-07-24;2.11-210724.1210-018;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-08-25;1.11-210825.1454-001;2.0;35398.37;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-09-06;2.9-210906.1014-029;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-09-08;1.11-210908.1510-011;1.0;35396.28;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-09-25;2.11-210925.1229-053;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-09-27;2.11-210927.1136-047;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-09-29;1.13-210929.1310-004;1.0;35396.89;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-10-16;1.11-211016.1834-003;1.0;35394.41;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-10-26;2.11-211026.1959-189;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-11-05;2.11-211105.1504-064;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-11-10;1.13-211110.1301-003;2.0;35392.92;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-11-11;2.11-211111.0915-012;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-12-01;1.12-211201.1305-007;1.0;35399.4;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-12-11;2.11-211211.1220-049;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-12-15;1.11-211215.1446-002;1.0;36302.09;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-12-18;2.11-211218.0956-032;0.0;0.0;1.0;40000.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000012;APIALYS SYR 100 ML;2021-12-22;1.11-211222.1237-002;1.0;35394.63;0.0;0.0;APIALYS SYR 100 ML;ETL3A;2.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-01-01;2.11-210101.1911-148;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-01-06;2.11-210106.0232-024;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-01-11;1.13-210111.0108-002;2.0;29275.55;0.0;0.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-01-12;2.8-210112.0819-004;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-02-10;2.11-210210.0846-008;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-02-12;2.9-210212.1754-053;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-02-27;2.11-210227.1743-098;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-04-14;2.11-210414.1010-009;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-04-26;2.11-210426.1137-019;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-05-24;2.12-210524.1452-001;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-06-12;2.11-210612.0926-020;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-06-30;2.11-210630.1425-032;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-05;2.11-210705.0947-030;0.0;0.0;3.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-13;1.11-210713.1544-005;3.0;32500.0;0.0;0.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-15;2.11-210715.1127-058;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-19;2.11-210719.1038-038;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-21;2.11-210721.1259-064;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-24;1.13-210724.0836-004;3.0;32500.0;0.0;0.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-24;2.11-210724.1231-031;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-25;2.11-210725.1820-026;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-27;2.11-210727.0930-017;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-07-30;1.11-210730.0913-001;3.0;32500.0;0.0;0.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-08-06;2.11-210806.1602-085;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-08-14;2.6-210814.1238-032;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-08-16;1.13-210816.1009-005;3.0;36099.61;0.0;0.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-08-18;1.11-210818.1651-003;6.0;32500.0;0.0;0.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-09-25;2.11-210925.1957-118;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-12-26;2.11-211226.1517-020;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000014;ALKOHOL 1000 ML;2021-12-28;2.11-211228.1333-058;0.0;0.0;1.0;42000.0;ALKOHOL 1000 ML;ETL3B;7.0;"BTL
"
A000016;ALLOPURINOL 300;2021-01-02;2.11-210102.0048-006;0.0;0.0;3.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-04;2.11-210104.0454-040;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-06;2.11-210106.0054-012;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-10;2.11-210110.0615-107;0.0;0.0;2.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-11;2.11-210111.0012-008;0.0;0.0;3.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-12;2.11-210112.0518-041;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-15;1.13-210115.0442-003;10.0;4300.01;0.0;0.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-15;2.11-210115.0209-015;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-15;2.11-210115.0545-043;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-17;2.11-210117.0132-012;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-22;2.9-210122.0518-040;0.0;0.0;3.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-29;2.11-210129.1902-124;0.0;0.0;2.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-01-30;2.11-210130.1149-031;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-01;2.11-210201.0953-019;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-01;2.11-210201.2014-129;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-03;2.11-210203.1149-029;0.0;0.0;3.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-09;2.11-210209.1404-020;0.0;0.0;1.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-10;1.6-210210.1837-001;10.0;4299.94;0.0;0.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-11;2.9-210211.1811-015;0.0;0.0;2.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-11;2.11-210211.1625-013;0.0;0.0;3.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-16;2.11-210216.2052-121;0.0;0.0;2.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
A000016;ALLOPURINOL 300;2021-02-17;2.11-210217.1659-082;0.0;0.0;2.0;6000.0;ALLOPURINOL 300;RAK2;40.0;"STRIP
"
